active_date,skill_name,job_count
2022-01-06,GCP,1
2022-01-06,Python/SAS,1
2022-01-06,Linux,1
2022-01-06,RDBMS,1
2022-01-06,MS SQL,1
2022-01-06,Kubernetes,1
2022-01-06,Google Cloud,1
2022-01-06,Docker,1
2022-01-06,PySpark,1
2022-01-06,Shell Scripting,1
2022-01-07,SQL,40
2022-01-07,Python,21
2022-01-07,Java,17
2022-01-07,Big Data,15
2022-01-07,Kotlin,10
2022-01-07,English,8
2022-01-07,R,6
2022-01-07,Spark,5
2022-01-07,AWS,5
2022-01-07,Excel,4
2022-01-07,Scala,4
2022-01-07,Google Tag Manager,3
2022-01-07,Google Analytics,3
2022-01-07,Data,3
2022-01-07,ETL,3
2022-01-07,Data modeling,3
2022-01-07,powerPoint,3
2022-01-07,Tableau,2
2022-01-07,Data analysis,2
2022-01-07,Kafka,2
2022-01-07,MS Excel,2
2022-01-07,SAS,2
2022-01-07,SD-WAN,1
2022-01-07,Riverbeds,1
2022-01-07,Packeteers,1
2022-01-07,Hive,1
2022-01-07,Google Sheets,1
2022-01-07,Enterprise Architect,1
2022-01-07,BPMN,1
2022-01-07,UML,1
2022-01-07,Azure,1
2022-01-07,Amazon AWS,1
2022-01-07,Hadoop or Cloud solutions,1
2022-01-07,NIFI,1
2022-01-07,Hadoop,1
2022-01-07,Unix / Linux scripting,1
2022-01-07,Relational databases / SQL,1
2022-01-07,Azure / AWS / GCP,1
2022-01-07,UNIX/LINUX,1
2022-01-07,Apache Big Data Stack,1
2022-01-07,GCP,1
2022-01-07,Python/SAS,1
2022-01-07,Linux,1
2022-01-07,RDBMS,1
2022-01-07,MS SQL,1
2022-01-07,Kubernetes,1
2022-01-07,Google Cloud,1
2022-01-07,Docker,1
2022-01-07,PySpark,1
2022-01-07,Shell Scripting,1
2022-01-08,SQL,40
2022-01-08,Python,21
2022-01-08,Java,9
2022-01-08,English,8
2022-01-08,Big Data,7
2022-01-08,R,6
2022-01-08,Spark,5
2022-01-08,AWS,5
2022-01-08,Excel,4
2022-01-08,Scala,4
2022-01-08,Google Tag Manager,3
2022-01-08,Google Analytics,3
2022-01-08,Data,3
2022-01-08,ETL,3
2022-01-08,Data modeling,3
2022-01-08,powerPoint,3
2022-01-08,Tableau,2
2022-01-08,Kotlin,2
2022-01-08,Data analysis,2
2022-01-08,Kafka,2
2022-01-08,MS Excel,2
2022-01-08,SAS,2
2022-01-08,SD-WAN,1
2022-01-08,Riverbeds,1
2022-01-08,Packeteers,1
2022-01-08,Hive,1
2022-01-08,Google Sheets,1
2022-01-08,Enterprise Architect,1
2022-01-08,BPMN,1
2022-01-08,UML,1
2022-01-08,Azure,1
2022-01-08,Amazon AWS,1
2022-01-08,Hadoop or Cloud solutions,1
2022-01-08,NIFI,1
2022-01-08,Hadoop,1
2022-01-08,Unix / Linux scripting,1
2022-01-08,Relational databases / SQL,1
2022-01-08,Azure / AWS / GCP,1
2022-01-08,UNIX/LINUX,1
2022-01-08,Apache Big Data Stack,1
2022-01-08,GCP,1
2022-01-08,Python/SAS,1
2022-01-08,Linux,1
2022-01-08,RDBMS,1
2022-01-08,MS SQL,1
2022-01-08,Kubernetes,1
2022-01-08,Google Cloud,1
2022-01-08,Docker,1
2022-01-08,PySpark,1
2022-01-08,Shell Scripting,1
2022-01-09,SQL,40
2022-01-09,Python,20
2022-01-09,Java,9
2022-01-09,English,8
2022-01-09,Big Data,6
2022-01-09,R,6
2022-01-09,Spark,5
2022-01-09,AWS,5
2022-01-09,Excel,4
2022-01-09,Scala,4
2022-01-09,Google Tag Manager,3
2022-01-09,Google Analytics,3
2022-01-09,Data,3
2022-01-09,Data modeling,3
2022-01-09,powerPoint,3
2022-01-09,Tableau,2
2022-01-09,Kotlin,2
2022-01-09,ETL,2
2022-01-09,Data analysis,2
2022-01-09,Kafka,2
2022-01-09,MS Excel,2
2022-01-09,SAS,2
2022-01-09,SD-WAN,1
2022-01-09,Riverbeds,1
2022-01-09,Packeteers,1
2022-01-09,Hive,1
2022-01-09,Google Sheets,1
2022-01-09,Enterprise Architect,1
2022-01-09,BPMN,1
2022-01-09,UML,1
2022-01-09,Azure,1
2022-01-09,Amazon AWS,1
2022-01-09,Hadoop or Cloud solutions,1
2022-01-09,NIFI,1
2022-01-09,Hadoop,1
2022-01-09,Unix / Linux scripting,1
2022-01-09,Relational databases / SQL,1
2022-01-09,Azure / AWS / GCP,1
2022-01-09,UNIX/LINUX,1
2022-01-09,Apache Big Data Stack,1
2022-01-09,GCP,1
2022-01-09,Python/SAS,1
2022-01-09,Linux,1
2022-01-09,RDBMS,1
2022-01-09,MS SQL,1
2022-01-09,Kubernetes,1
2022-01-09,Google Cloud,1
2022-01-09,Docker,1
2022-01-09,PySpark,1
2022-01-09,Shell Scripting,1
2022-01-10,SQL,37
2022-01-10,Python,17
2022-01-10,Java,9
2022-01-10,English,8
2022-01-10,Big Data,6
2022-01-10,R,6
2022-01-10,Spark,5
2022-01-10,AWS,5
2022-01-10,Excel,4
2022-01-10,Scala,4
2022-01-10,Google Tag Manager,3
2022-01-10,Google Analytics,3
2022-01-10,Data,3
2022-01-10,Data modeling,3
2022-01-10,powerPoint,3
2022-01-10,Tableau,2
2022-01-10,Kotlin,2
2022-01-10,Data analysis,2
2022-01-10,Kafka,2
2022-01-10,MS Excel,2
2022-01-10,SAS,2
2022-01-10,SD-WAN,1
2022-01-10,Riverbeds,1
2022-01-10,Packeteers,1
2022-01-10,Hive,1
2022-01-10,Google Sheets,1
2022-01-10,Enterprise Architect,1
2022-01-10,BPMN,1
2022-01-10,UML,1
2022-01-10,Azure,1
2022-01-10,Amazon AWS,1
2022-01-10,Hadoop or Cloud solutions,1
2022-01-10,NIFI,1
2022-01-10,Hadoop,1
2022-01-10,Unix / Linux scripting,1
2022-01-10,Relational databases / SQL,1
2022-01-10,Azure / AWS / GCP,1
2022-01-10,UNIX/LINUX,1
2022-01-10,Apache Big Data Stack,1
2022-01-10,GCP,1
2022-01-10,Python/SAS,1
2022-01-10,Linux,1
2022-01-10,ETL,1
2022-01-10,RDBMS,1
