active_date,skill_name,job_count,month_total
2022-06,Amplitude,3,633
2022-06,Kubernetes,2,633
2022-06,Git,2,633
2022-06,VBA,2,633
2022-06,Bash,2,633
2022-06,Jenkins,1,633
2022-06,CI/CD,1,633
2022-06,DevOps,1,633
2022-06,LAN/WAN,1,633
2022-06,Linux / Unix,1,633
2022-06,Matlab,1,633
2022-06,Statistics,1,633
2022-06,Salesforce,1,633
2022-06,CRM,1,633
2022-06,Sparx,1,633
2022-06,Kibana,1,633
2022-06,SaaS,1,633
2022-06,Hadoop or Cloud solutions,1,633
2022-06,SharePoint,1,633
2022-06,NIFI,1,633
2022-06,UNIX/LINUX (Red Hat) RH 7.x,1,633
2022-06,HTML5,1,633
2022-06,PHP 7.x,1,633
2022-06,DBMS,1,633
2022-06,DWH,1,633
2022-06,DBT,1,633
2022-06,Microsoft Azure Cloud,1,633
2022-06,K8S,1,633
2022-06,Haddop,1,633
2022-06,Docker,1,633
2022-06,Apache Kafka,1,633
2022-06,Amazon AWS,1,633
2022-07,SQL,135,628
2022-07,Python,84,628
2022-07,Spark,61,628
2022-07,ETL,30,628
2022-07,PowerBI,28,628
2022-07,Hadoop,27,628
2022-07,Java,25,628
2022-07,NoSQL,22,628
2022-07,QlikView,20,628
2022-07,Open source,19,628
2022-07,Machine Learning,19,628
2022-07,Scala,17,628
2022-07,Linux,12,628
2022-07,AWS,12,628
2022-07,GCP,11,628
2022-07,Tableau,10,628
2022-07,R,8,628
2022-07,Kafka,6,628
2022-07,Communication Skills,6,628
2022-07,Pandas,5,628
2022-07,Excel,4,628
2022-07,Azure,4,628
2022-07,DWH,4,628
2022-07,Haddop,4,628
2022-07,Hive,3,628
2022-07,E-commerce,3,628
2022-07,HDFS,3,628
2022-07,BPMN,3,628
2022-07,Kubernetes,3,628
2022-07,Problem Solving,3,628
2022-07,Team Player,3,628
2022-07,Git,2,628
2022-07,Apache Hadoop,1,628
2022-07,LAN/WAN,1,628
2022-07,Linux / Unix,1,628
2022-07,Statistics,1,628
2022-07,Kotlin,1,628
2022-07,Presto,1,628
2022-07,Cloudera,1,628
